step,x,y,yaw,speed,segment_name,lane_deviation,penalty_increment,total_penalty,raw_time,penalty_time,final_time,finished,final_forward,final_turn,residual_speed_delta,residual_steering_bias,strict_lane_correction
13,-0.9045203924179077,-1.020623803138733,-0.4173877537250519,0.44999999999999996,normal_lane_following,0.04937619686126715,0.0,,,,,False,0.44999999999999996,-0.1128044793015366,0.03,-0.035,0.11
14,-0.8907556533813477,-1.026588797569275,-0.40892618894577026,0.44999999999999996,normal_lane_following,0.04341120243072516,0.0,,,,,False,0.44999999999999996,-0.06901368952760135,0.03,0.035,0.0893781118392946
15,-0.8769616484642029,-1.0324819087982178,-0.40374985337257385,0.44999999999999996,normal_lane_following,0.03751809120178229,0.0,,,,,False,0.44999999999999996,-0.15573979780443226,0.03,-0.035,0.07386912631988542
16,-0.8630997538566589,-1.0382134914398193,-0.392069011926651,0.44999999999999996,normal_lane_following,0.031786508560180726,0.0,,,,,False,0.44999999999999996,-0.10495922479642213,0.03,0.035,0.05854703712463395
17,-0.8491931557655334,-1.0438357591629028,-0.38419675827026367,0.44999999999999996,normal_lane_following,0.02616424083709723,0.0,,,,,False,0.44999999999999996,-0.17623914248814176,0.03,-0.02312527596950531,0.04364492225646989
18,-0.8352134227752686,-1.0492736101150513,-0.37097859382629395,0.44999999999999996,normal_lane_following,0.020726389884948793,0.0,,,,,False,0.44999999999999996,-0.13404446827775285,0.03,0.035,0.0290270261764528
19,-0.8211798071861267,-1.0545707941055298,-0.3609251081943512,0.44999999999999996,normal_lane_following,0.015429205894470277,0.0,,,,,False,0.44999999999999996,-0.18908449444109465,0.03,-0.009303078055381775,0.014888613700866863
20,-0.8070724010467529,-1.0596684217453003,-0.34674370288848877,0.44999999999999996,normal_lane_following,0.01033157825469977,0.0,,,,,False,0.44999999999999996,-0.15762419904782626,0.03,0.035,0.0011159353256227217
21,-0.7929058074951172,-1.064598798751831,-0.3349218964576721,0.44999999999999996,normal_lane_following,0.0054012012481690075,0.0,,,,,False,0.44999999999999996,-0.18551771903355416,0.03,0.0035561025142669678,0.0
22,-0.7786718606948853,-1.0693317651748657,-0.3210080564022064,0.44999999999999996,normal_lane_following,0.0006682348251343395,0.0,,,,,False,0.44999999999999996,-0.15116131680047912,0.03,0.035,0.0
23,-0.7643851041793823,-1.07390296459198,-0.30967092514038086,0.44999999999999996,normal_lane_following,0.0039029645919799187,0.0,,,,,False,0.44999999999999996,-0.15240839078944823,0.03,0.028797075152397156,0.0
24,-0.7500471472740173,-1.0783106088638306,-0.29824042320251465,0.4088370037078857,normal_lane_following,0.008310608863830504,0.0,,,,,False,0.4088370037078857,-0.14319825400919356,-0.011162996292114258,0.035,0.0
25,-0.7369823455810547,-1.0821876525878906,-0.28848323225975037,0.443004412651062,normal_lane_following,0.012187652587890563,0.0,,,,,False,0.443004412651062,-0.13988024697189377,0.02300441265106201,0.035,0.0
26,-0.7227829694747925,-1.086242437362671,-0.2781555652618408,1.029039804339409,normal_lane_following,0.016242437362670836,0.0,,,,,False,1.029039804339409,-0.23197962967448318,0.009039804339408875,0.035,0.0
27,-0.689451277256012,-1.0943416357040405,-0.23836959898471832,0.98,normal_lane_following,0.024341635704040465,0.0,,,,,False,0.98,-0.3036571421546582,-0.04,-0.035,-0.003230337142944176
28,-0.6573647856712341,-1.1004716157913208,-0.18877221643924713,1.26,normal_lane_following,0.030471615791320742,0.0,,,,,False,1.26,-0.288211509812274,-0.04,-0.023972347378730774,-0.024288252830505213
29,-0.615709662437439,-1.1058433055877686,-0.12824764847755432,1.26,normal_lane_following,0.03584330558776849,0.0,,,,,False,1.26,-0.28471638537642247,-0.04,-0.035,-0.04022620105743393
30,-0.5738078355789185,-1.1087161302566528,-0.06845680624246597,1.26,normal_lane_following,0.03871613025665277,0.0,,,,,False,1.26,-0.2592551264604777,-0.04,-0.035,-0.054192594528198086
